Time (msec);Accelerator Pedal Angle (%);Engine Speed (rpm);SI-Drive Mode (index);AT Turbine Speed 1 (rpm);AT Turbine Speed 2 (rpm);ATF Temperature (C);AWD Solenoid Valve Pressure (kPa);D/C Solenoid Valve Pressure (kPa);F/B Solenoid Valve Pressure (kPa);Front Wheel Speed (km/h);Fwd/B Solenoid Valve Target Pressure (kPa);Gear Position (gear);H and LR/C Solenoid Valve Pressure (kPa);I/C Solenoid Valve Pressure (kPa);L/U Solenoid Valve Pressure (kPa);P/L Solenoid Valve Pressure (kPa);Rear Wheel Speed (km/h);Turbine Revolution Speed (rpm)
59021;0,00;3692;1;3744;3744;91;40;1390;0;126;0;4;1420;1400;0;440;125;3744
59215;0,00;3629;1;3744;3744;91;40;1390;0;125;0;4;1420;1400;0;440;125;3744
59409;0,00;3607;1;3712;3712;91;40;1390;0;124;0;4;1420;1400;0;440;124;3712
59602;0,00;3585;1;3680;3680;91;40;1390;0;123;0;4;1420;1400;0;440;123;3680
59796;0,00;3560;1;3680;3680;91;40;1390;0;123;0;4;1420;1400;0;440;122;3680
59991;0,00;3536;1;3648;3648;91;40;1390;0;122;0;4;1420;1400;0;440;122;3648
60184;0,00;3493;1;3616;3616;91;40;1390;0;122;0;4;1420;1400;0;440;121;3616
60378;0,00;3491;1;3616;3616;91;40;1390;0;121;0;4;1420;1400;0;440;120;3616
60573;0,00;3454;1;3584;3584;91;40;1390;0;120;0;4;1420;1400;0;440;120;3584
60766;0,00;3448;1;3552;3552;91;40;1390;0;119;0;4;1420;1400;0;440;119;3552
60959;0,00;3409;1;3552;3552;91;40;1390;0;118;0;4;1420;1400;0;440;118;3552
61153;0,00;3387;1;3520;3520;91;40;1390;0;118;0;4;1420;1400;0;440;117;3520
61346;0,00;3382;1;3488;3488;91;40;1390;0;117;0;4;1420;1400;0;440;117;3488
61540;0,00;3356;1;3456;3456;91;40;1390;0;116;0;4;1420;1400;0;440;116;3456
61734;0,00;3340;1;3456;3456;91;40;1390;0;116;0;4;1420;1400;0;440;116;3456
61928;0,00;3318;1;3424;3424;91;40;1390;0;115;0;4;1420;1400;0;440;115;3424
62121;0,00;3296;1;3424;3424;91;40;1390;0;114;0;4;1420;1400;0;440;114;3424
62314;0,00;3271;1;3392;3392;91;40;1390;0;114;0;4;1420;1400;0;440;113;3392
62507;0,00;3252;1;3360;3392;91;40;1390;0;113;0;4;1420;1400;0;440;113;3392
62701;0,00;3215;1;3360;3360;91;40;1390;0;112;0;4;1420;1400;0;440;112;3360
62895;0,00;3212;1;3328;3328;91;40;1390;0;111;0;4;1420;1400;0;440;111;3328
63098;0,00;3187;1;3296;3296;91;40;1390;0;111;0;4;1420;1400;0;440;111;3296
63293;0,00;3153;1;3296;3296;91;40;1390;0;110;0;4;1420;1400;0;440;110;3296
63485;0,00;3131;1;3264;3264;91;40;1390;0;110;0;4;1420;1400;0;440;109;3264
63678;0,00;3117;1;3264;3264;91;40;1390;0;109;0;4;1420;1400;0;440;109;3264
63873;0,00;3094;1;3232;3232;91;40;1390;0;108;0;4;1420;1400;0;440;108;3232
64066;0,00;3062;1;3200;3200;91;40;1390;0;108;0;4;1420;1400;0;440;108;3232
64260;0,00;3042;1;3200;3200;91;40;1390;0;107;0;4;1420;1400;0;440;107;3200
64453;0,00;3030;1;3168;3168;91;40;1390;0;106;0;4;1420;1400;0;440;106;3168
64647;0,00;3024;1;3168;3168;91;40;1390;0;106;0;4;1420;1400;0;440;105;3168
64840;0,00;3003;1;3136;3136;91;40;1390;0;105;0;4;1420;1400;0;440;105;3136
65034;0,00;2970;1;3104;3136;91;40;1390;0;105;0;4;1420;1400;0;440;104;3136
65228;0,00;2950;1;3104;3104;91;40;1390;0;104;0;4;1420;1400;0;440;103;3104
65421;0,00;2931;1;3072;3072;91;40;1390;0;103;0;4;1420;1400;0;440;103;3072
65614;0,00;2926;1;3072;3072;91;40;1390;0;103;0;4;1420;1400;0;440;103;3072
65809;0,00;2909;1;3040;3040;91;40;1390;0;102;0;4;1420;1400;0;440;102;3040
66002;3,92;2871;1;3040;3008;91;30;1390;0;102;0;4;1420;1400;0;440;102;3008
66194;5,10;2994;1;3040;3008;91;30;1390;0;101;0;4;1420;1400;20;440;101;3008
66389;7,84;2998;1;3008;3008;91;30;1390;0;101;0;4;1420;1400;30;440;100;3008
66582;9,02;3047;1;3008;3008;91;30;1390;0;101;0;4;1420;1400;40;440;100;3008
66777;11,37;3061;1;2976;2976;91;40;1390;0;99;0;4;1420;1400;50;440;99;2976
66970;14,12;3089;1;2976;2976;91;40;1390;0;99;0;4;1420;1400;80;440;99;2976
67164;15,29;3082;1;2944;2976;91;50;1390;0;99;0;4;1420;1400;90;460;99;2976
67357;16,08;3070;1;2944;2944;91;50;1390;0;99;0;4;1420;1400;100;490;99;2944
67550;16,08;3069;1;2944;2944;91;50;1390;0;99;0;4;1420;1400;100;500;99;2944
67744;18,43;3063;1;2944;2944;91;50;1390;0;99;0;4;1420;1400;110;510;98;2944
67938;18,43;3129;1;2944;2944;91;60;1390;0;99;0;4;1420;1400;130;560;99;2944
68131;18,43;3051;1;2944;2944;91;60;1390;0;98;0;4;1420;1400;120;570;98;2944
68324;18,04;3040;1;2944;2944;91;60;1390;0;99;0;4;1420;1400;120;580;98;2944
68518;17,65;3045;1;2944;2944;91;60;1390;0;99;0;4;1420;1400;130;580;99;2944
68712;18,04;3049;1;2944;2944;91;60;1390;0;99;0;4;1420;1400;130;580;99;2944
68906;18,04;3045;1;2944;2944;91;60;1390;0;99;0;4;1420;1400;130;580;98;2944
69100;18,04;3036;1;2944;2944;91;70;1390;0;99;0;4;1420;1400;130;590;98;2944
69294;17,65;2989;1;2944;2944;91;60;280;290;99;0;4;1420;1400;120;2400;98;2944
69487;17,65;3026;1;2944;2944;91;70;220;80;99;0;4;1420;1400;120;2400;99;2944
69680;17,65;3031;1;2944;2944;91;70;70;100;98;0;4;1420;1400;120;2400;98;2944
69874;16,86;3011;1;2720;2848;91;60;0;150;99;0;4;1420;1400;120;2400;98;2912
70066;17,25;2924;1;2016;2528;91;60;0;160;98;0;4;1420;1400;120;2400;99;2784
70260;17,25;2857;1;1120;2144;91;60;0;170;99;0;4;1420;1400;120;2400;98;2656
70454;16,86;2731;1;320;1792;91;60;0;160;99;0;4;1420;1400;120;2400;99;2496
70647;17,25;2611;1;0;1664;91;50;0;870;99;0;4;1420;1400;120;2400;99;2464
70841;16,86;2590;1;0;1664;91;60;0;890;98;0;5;1420;1400;160;2020;98;2432
71034;16,86;2584;1;0;1664;91;60;0;890;99;0;5;1420;1400;160;1520;98;2464
71229;17,25;2559;1;0;1664;91;60;0;890;98;0;5;1420;1400;180;1020;98;2432
71422;17,25;2581;1;0;1664;91;60;0;890;99;0;5;1420;1400;180;620;99;2464
71616;16,86;2514;1;0;1664;91;60;0;890;98;0;5;1420;1400;170;620;98;2464
71810;16,86;2475;1;0;1664;91;60;0;890;99;0;5;1420;1400;150;610;99;2432
72004;16,47;2479;1;0;1664;91;60;0;890;98;0;5;1420;1400;150;600;98;2464
72199;15,69;2479;1;0;1664;91;60;0;890;99;0;5;1420;1400;150;600;98;2432
72392;16,08;2477;1;0;1664;91;50;0;890;99;0;5;1420;1400;140;570;98;2432
72588;14,12;2460;1;0;1664;91;50;0;890;98;0;5;1420;1400;130;570;98;2432
72781;14,51;2460;1;0;1664;91;50;0;890;98;0;5;1420;1400;130;530;98;2464
72974;14,51;2466;1;0;1664;91;50;0;890;98;0;5;1420;1400;130;520;98;2432
73168;14,51;2446;1;0;1632;91;50;0;890;98;0;5;1420;1400;120;510;98;2432
73361;12,94;2444;1;0;1664;91;50;0;890;98;0;5;1420;1400;120;510;98;2432
73555;12,16;2432;1;0;1632;91;50;0;890;98;0;5;1420;1400;120;480;97;2432
73748;12,16;2468;1;0;1664;91;40;0;890;98;0;5;1420;1400;110;460;98;2432
73942;11,37;2440;1;0;1632;91;40;0;890;97;0;5;1420;1400;110;450;97;2432
74134;10,98;2377;1;0;1632;91;40;0;890;97;0;5;1420;1400;150;430;97;2432
74328;10,98;2429;1;0;1632;91;40;0;890;97;0;5;1420;1400;150;410;97;2400
74522;9,80;2423;1;0;1632;91;40;0;890;97;0;5;1420;1400;150;410;97;2432
74714;9,02;2428;1;0;1632;91;40;0;890;97;0;5;1420;1400;150;410;97;2400
74908;7,84;2419;1;0;1632;91;30;0;890;96;0;5;1420;1400;140;410;96;2400
75102;8,24;2420;1;0;1632;91;30;0;890;96;0;5;1420;1400;140;410;96;2400
75296;8,24;2411;1;0;1632;91;30;0;890;96;0;5;1420;1400;140;410;96;2400
75490;8,63;2393;1;0;1600;91;30;0;890;96;0;5;1420;1400;140;410;96;2368
75684;9,02;2387;1;0;1600;91;30;0;890;95;0;5;1420;1400;140;410;95;2368
75878;10,20;2389;1;0;1600;91;30;0;890;95;0;5;1420;1400;140;410;95;2368
76070;11,76;2391;1;0;1600;91;30;0;890;95;0;5;1420;1400;150;410;95;2368
76263;12,16;2384;1;0;1600;91;40;0;890;95;0;5;1420;1400;150;410;95;2368
76456;11,76;2381;1;0;1600;91;40;0;890;95;0;5;1420;1400;160;430;94;2368
76649;12,16;2367;1;0;1600;91;40;0;890;95;0;5;1420;1400;150;420;94;2336
76844;18,82;2360;1;0;1600;91;40;0;890;95;0;5;1420;1400;160;420;94;2336
77038;23,53;2382;1;0;1600;91;50;0;890;95;0;5;1420;1400;180;530;95;2368
77230;26,27;2378;1;0;1600;91;60;0;890;94;0;5;1420;1400;200;630;94;2336
77424;28,24;2392;1;0;1600;91;70;0;890;95;0;5;1420;1400;210;670;95;2368
77617;29,41;2392;1;0;1600;92;70;0;890;95;0;5;1420;1400;230;710;95;2368
77810;29,41;2373;1;0;1600;92;80;0;890;95;0;5;1420;1400;140;740;95;2368
78004;29,80;2389;1;0;1600;92;80;0;890;95;0;5;1420;1400;250;760;95;2368
78197;29,80;2394;1;0;1600;92;80;0;890;96;0;5;1420;1400;250;800;96;2368
78392;30,59;2397;1;0;1632;92;90;0;890;96;0;5;1420;1400;260;850;96;2400
78586;30,59;2409;1;0;1632;92;90;0;890;96;0;5;1420;1400;180;910;96;2400
78780;29,41;2430;1;0;1632;92;100;0;890;97;0;5;1420;1400;190;960;97;2400
78974;29,80;2435;1;0;1632;92;100;0;890;97;0;5;1420;1400;190;980;97;2432
79168;29,41;2437;1;0;1632;92;100;0;890;98;0;5;1420;1400;200;1000;98;2432
79362;29,80;2442;1;0;1664;92;100;0;890;98;0;5;1420;1400;200;1010;98;2432
79556;29,80;2479;1;0;1664;92;100;0;890;98;0;5;1420;1400;210;1030;98;2464
79749;29,80;2487;1;0;1664;92;100;0;890;99;0;5;1420;1400;200;1040;99;2464
79942;29,02;2483;1;0;1664;92;100;0;890;99;0;5;1420;1400;210;1040;99;2464
80135;29,41;2500;1;0;1696;92;100;0;890;100;0;5;1420;1400;210;1040;100;2496
80330;29,02;2496;1;0;1696;92;110;0;890;100;0;5;1420;1400;210;1050;100;2496
80525;29,41;2515;1;0;1696;92;100;0;890;101;0;5;1420;1400;210;1050;101;2496
80719;29,41;2538;1;0;1696;92;110;0;890;101;0;5;1420;1400;210;1050;101;2528
80913;29,41;2544;1;0;1728;92;100;0;890;101;0;5;1420;1400;210;1040;101;2528
81106;27,84;2549;1;0;1728;92;110;0;890;102;0;5;1420;1400;210;1050;102;2528
81300;27,45;2575;1;0;1728;92;100;0;890;103;0;5;1420;1400;200;1030;103;2560
81494;25,49;2578;1;0;1728;92;100;0;890;103;0;5;1420;1400;200;1020;103;2560
81687;21,57;2588;1;0;1728;92;100;0;890;103;0;5;1420;1400;200;1000;103;2560
81881;17,65;2575;1;0;1728;92;90;0;890;103;0;5;1420;1400;170;890;103;2560
82074;16,08;2588;1;0;1760;92;70;0;890;104;0;5;1420;1400;130;740;103;2592
82268;10,98;2586;1;0;1728;92;60;0;890;103;0;5;1420;1400;110;660;103;2560
82462;7,06;2582;1;0;1728;92;50;0;890;103;0;5;1420;1400;80;550;103;2560
82654;5,88;2585;1;0;1760;92;40;0;890;104;0;5;1420;1400;60;450;103;2560
82848;5,10;2589;1;0;1728;92;40;0;890;103;0;5;1420;1400;50;410;103;2560
83042;4,71;2568;1;0;1728;92;30;0;890;103;0;5;1420;1400;40;410;103;2560
83238;4,31;2562;1;0;1728;92;30;0;890;103;0;5;1420;1400;30;410;102;2560
83431;5,10;2569;1;0;1728;92;30;0;890;103;0;5;1420;1400;30;410;102;2560
83624;5,10;2548;1;0;1728;92;30;0;890;102;0;5;1420;1400;30;410;102;2528
83818;5,10;2613;1;0;1728;92;30;0;890;102;0;5;1420;1400;30;410;102;2528
84010;5,10;2536;1;0;1696;92;30;0;890;102;0;5;1420;1400;30;410;101;2528
84205;4,71;2542;1;0;1696;92;30;0;890;101;0;5;1420;1400;30;410;101;2528
84398;4,71;2537;1;0;1696;92;30;0;890;101;0;5;1420;1400;30;410;101;2528
84592;5,10;2517;1;0;1696;92;30;0;890;101;0;5;1420;1400;30;410;101;2496
84785;5,10;2526;1;0;1696;92;30;0;890;101;0;5;1420;1400;30;410;100;2496
84980;4,31;2499;1;0;1696;92;30;0;890;100;0;5;1420;1400;30;410;100;2496
85173;4,31;2514;1;0;1696;92;30;0;890;100;0;5;1420;1400;30;410;100;2496
85366;3,92;2491;1;0;1696;92;30;0;890;100;0;5;1420;1400;30;410;99;2496
85560;4,31;2502;1;0;1696;92;30;0;890;100;0;5;1420;1400;30;410;100;2496
85754;3,53;2492;1;0;1664;92;30;0;890;99;0;5;1420;1400;30;410;99;2464
85948;1,57;2476;1;0;1664;92;30;0;890;99;0;5;1420;1400;30;410;99;2464
86142;0,00;2464;1;0;1664;92;30;0;890;99;0;5;1420;1400;40;410;98;2464
86334;0,00;2465;1;0;1664;92;30;0;890;99;0;5;1420;1400;20;410;98;2432
86529;0,00;2443;1;0;1664;92;20;0;890;98;0;5;1420;1400;10;410;97;2432
86722;0,00;2435;1;0;1664;92;0;0;890;98;0;5;1420;1400;10;410;97;2432
86916;0,00;2353;1;0;1632;92;30;0;890;97;0;5;1420;1400;30;410;97;2432
87109;0,00;2345;1;0;1632;92;30;0;890;97;0;5;1420;1400;30;410;97;2400
87303;0,00;2378;1;0;1632;92;30;0;890;96;0;5;1420;1400;40;410;96;2400
87496;0,00;2386;1;0;1600;92;30;0;890;96;0;5;1420;1400;30;410;96;2368
87690;0,00;2349;1;0;1600;92;30;0;890;95;0;5;1420;1400;40;410;95;2368
87883;0,00;2332;1;0;1600;92;30;0;890;94;0;5;1420;1400;40;410;94;2336
88076;0,00;2314;1;0;1568;92;30;0;890;93;0;5;1420;1400;30;410;92;2304
88270;0,00;2246;1;0;1536;92;30;0;890;91;0;5;1420;1400;30;410;90;2272
88462;0,00;2199;1;0;1504;92;30;0;890;88;0;5;1420;1400;30;410;88;2208
88656;0,00;2124;1;0;1440;92;30;0;890;86;0;5;1420;1400;30;410;86;2144
88850;0,00;2079;1;0;1408;92;30;0;890;84;0;5;1420;1400;30;410;84;2080
89044;0,00;2034;1;0;1408;92;30;0;890;83;0;5;1420;1400;30;410;82;2048
89237;0,00;2026;1;0;1376;92;30;0;890;82;0;5;1420;1400;30;410;82;2048
89431;0,00;2022;1;0;1376;92;30;0;890;82;0;5;1420;1400;30;410;81;2016
89623;0,00;2002;1;0;1376;92;30;0;890;81;0;5;1420;1400;30;410;81;2016
89818;0,00;1966;1;0;1344;92;30;0;890;80;0;5;1420;1400;30;410;79;1984
90010;0,00;1942;1;0;1312;92;30;0;890;79;0;5;1420;1400;30;410;78;1952
90204;0,00;1913;1;0;1312;92;30;0;890;77;0;5;1420;1400;30;410;77;1920
90398;0,00;1864;1;0;1280;92;30;0;890;75;0;5;1420;1400;30;410;75;1888
90591;0,00;1835;1;0;1248;92;30;0;890;75;0;5;1420;1400;30;410;75;1856
90784;0,00;1822;1;0;1248;92;30;0;890;74;0;5;1420;1400;30;410;74;1856
90979;0,00;1825;1;0;1248;92;30;0;890;74;0;5;1420;1400;30;410;73;1824
91172;0,00;1807;1;0;1248;92;30;0;890;73;0;5;1420;1400;30;410;73;1824
91366;0,00;1797;1;0;1216;92;30;0;890;73;0;5;1420;1400;30;410;73;1824
91560;0,00;1788;1;0;1216;92;30;0;890;73;0;5;1420;1400;30;410;72;1792
91753;0,00;1775;1;0;1216;92;30;0;890;72;0;5;1420;1400;30;410;72;1792
91945;0,00;1763;1;0;1216;92;30;0;890;72;0;5;1420;1400;30;410;71;1792
92139;0,00;1750;1;0;1184;92;30;0;890;71;0;5;1420;1400;30;410;71;1760
92332;0,00;1741;1;0;1184;92;30;0;890;70;0;5;1420;1400;30;410;70;1728
92526;0,00;1690;1;0;1152;92;30;0;890;68;0;5;1420;1400;30;410;68;1696
92719;0,00;1632;1;0;1088;92;30;0;890;65;0;5;1420;1400;30;410;65;1632
92913;0,00;1538;1;0;1056;91;30;0;890;62;0;5;1420;1400;30;410;62;1568
93107;0,00;1452;1;0;992;91;30;0;890;59;0;5;1420;1400;30;410;58;1472
93301;0,00;1382;1;0;928;91;30;0;890;56;0;5;1420;1400;30;410;55;1376
93494;0,00;1306;1;0;896;91;30;0;890;53;0;5;1420;1400;30;410;52;1312
93687;0,00;1256;1;0;832;91;30;0;890;50;0;5;1420;1400;40;410;49;1216
93881;0,00;1187;1;0;800;91;30;0;890;47;0;5;1420;1400;40;410;47;1184
94075;0,00;1126;1;0;768;91;30;0;890;44;0;5;1420;1400;50;410;44;1120
94268;0,00;1024;1;0;736;91;30;90;170;43;0;5;1420;1400;0;1440;42;1056
94462;0,00;969;1;0;672;91;30;90;40;40;0;5;1420;1400;0;1440;39;992
94656;0,00;1076;1;128;672;91;30;90;40;37;0;5;1420;1400;0;1440;37;960
94850;0,00;1078;1;672;864;91;30;100;40;34;0;5;1420;1400;0;1440;35;960
95043;0,00;1042;1;960;992;91;30;1390;0;32;0;5;1420;1400;0;1440;33;992
95236;0,00;1019;1;896;896;91;30;1390;0;30;0;5;1420;150;0;2400;30;896
95430;0,00;982;1;704;832;91;30;1390;60;27;0;5;1420;100;0;2400;28;896
95622;0,00;1010;1;320;800;91;30;1390;60;26;0;5;1420;100;0;2400;26;992
95816;0,00;1083;1;0;736;91;30;1390;340;24;0;5;1760;0;0;2400;24;1088
96010;0,00;1098;1;0;672;91;30;1390;890;22;70;5;130;0;0;2040;22;992
96204;0,00;1044;1;0;640;91;30;1390;890;21;70;5;110;0;0;2040;21;960
96398;0,00;1000;1;0;640;91;30;0;890;19;0;3;140;0;0;1890;20;960
96591;0,00;1020;1;0;672;91;30;0;890;20;0;3;150;0;0;1390;20;992
96785;0,00;1023;1;0;672;91;0;0;890;20;0;3;170;0;0;1360;19;992
96978;0,00;1035;1;0;672;91;0;0;890;19;0;3;190;0;0;1360;19;992
97172;0,00;1028;1;0;672;91;0;0;890;19;0;3;210;0;0;1360;19;1024
97366;0,00;1024;1;0;672;91;0;0;890;18;0;3;1420;0;0;1230;18;992
97559;0,00;1011;1;0;672;91;0;0;890;17;0;3;1420;0;0;830;17;992
97752;0,00;1021;1;0;672;91;0;0;890;14;0;3;1420;0;0;360;15;992
97944;0,00;1032;1;0;672;91;0;0;890;13;0;3;1420;0;0;360;12;992
98138;0,00;962;1;0;672;91;0;0;890;10;0;3;1420;0;0;360;10;992
98331;0,00;1024;1;0;672;91;0;0;890;7;0;3;1420;0;0;360;7;992
98525;0,00;1021;1;0;672;91;0;0;890;5;0;3;1420;0;0;360;5;960
98718;0,00;1024;1;0;672;91;0;0;890;3;0;3;1420;0;0;350;3;960
98911;0,00;1038;1;0;672;91;0;0;890;1;0;3;1420;0;0;350;1;992
99104;0,00;1022;1;0;672;91;0;0;890;0;0;3;1420;0;0;350;0;992
99298;0,00;1084;1;0;672;91;0;0;890;0;0;3;1420;0;0;350;0;992
99491;0,00;983;1;0;640;91;0;0;890;0;0;3;1420;0;0;350;0;960
99685;0,00;955;1;0;640;91;0;0;890;0;0;3;1420;0;0;350;0;928
99880;0,00;909;1;0;608;91;0;0;890;0;0;3;1420;0;0;350;0;896
100073;0,00;874;1;0;576;91;0;0;890;0;0;3;1420;0;0;350;0;864
100267;0,00;855;1;0;544;91;0;0;890;0;0;3;1420;0;0;350;0;832
100461;0,00;822;1;0;544;91;0;0;890;0;0;3;1420;0;0;350;0;800
100654;0,00;800;1;0;512;91;0;0;890;0;0;3;1420;0;0;350;0;768
100848;0,00;787;1;0;512;91;0;0;890;0;0;3;1420;0;0;350;0;736
101042;0,00;772;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;736
101237;0,00;759;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
101429;0,00;750;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
101622;0,00;736;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
101816;0,00;724;1;0;448;91;0;0;890;0;0;3;1420;0;0;350;0;672
102010;0,00;722;1;0;448;91;0;0;890;0;0;3;1420;0;0;350;0;672
102204;0,00;729;1;0;448;91;0;0;890;0;0;3;1420;0;0;350;0;672
102398;0,00;733;1;0;448;91;0;0;890;0;0;3;1420;0;0;350;0;672
102591;0,00;743;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
102784;0,00;742;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
102977;0,00;750;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
103171;0,00;753;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
103365;0,00;752;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
103559;0,00;753;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
103752;0,00;748;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
103944;0,00;752;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
104138;0,00;753;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
104332;0,00;762;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
104526;0,00;752;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
104719;0,00;751;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
104912;0,00;752;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
105106;0,00;747;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
105299;0,00;751;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
105493;0,00;742;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
105686;0,00;747;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
105878;0,00;754;1;0;480;91;0;0;890;0;0;3;1420;0;0;350;0;704
106072;0,00;742;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
106266;0,00;747;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
106459;0,00;745;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
106651;0,00;742;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
106844;0,00;740;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
107036;0,00;748;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
107229;0,00;730;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
107423;0,00;738;1;0;448;90;0;0;890;0;0;3;1420;0;0;350;0;672
107617;0,00;733;1;0;448;90;0;0;890;0;0;3;1420;0;0;350;0;672
107810;0,00;745;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
108003;0,00;745;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
108196;0,00;744;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
108390;0,00;745;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
108583;0,00;743;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
108777;0,00;748;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
108970;0,00;739;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
109163;0,00;735;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
109357;0,00;738;1;0;480;90;0;0;890;0;0;3;1420;0;0;350;0;704
109551;0,00;732;1;0;448;90;0;0;890;0;0;3;1420;0;0;350;0;704
109751;0,00;733;1;0;448;90;0;0;890;0;0;3;1420;0;0;350;0;672
